"context_name","dominio","issn","record_count_2023","record_count_2022","record_count_2021","record_count_2020","total_historico","activa"
"Revista Estudiantil de Ensayos Monográficos","revistasdex.uchile.cl","Sin ISSN",10,8,0,0,18,TRUE
"Revista de Investigación Aplicada en Ciencias Empresariales","iace.uv.cl","0719-3084;0719-9910",10,5,8,24,90,TRUE
"European Journal of Health Research","revistas.uautonoma.cl","2444-9067;2445-0308",10,6,22,20,129,TRUE
"European Journal of Child Development, Education and Psychopathology","revistas.uautonoma.cl","2340-924X",10,0,11,15,113,TRUE
"RLA. Revista de Lingüística Teórica y Aplicada","revistas.udec.cl","0033-698X;0718-4883",9,17,17,34,109,TRUE
"Revista Iberoamericana de Estudios Municipales","revistas.uautonoma.cl","0719-1790",9,12,12,12,180,TRUE
"Boletín Museo Nacional de Historia Natural","boletinmnhn.cl","0027-3910;0719-935X",9,8,9,15,932,TRUE
"Boletín Micológico","revistas.uv.cl","0719-3114",9,11,16,10,571,TRUE
"Revista summa de arithmetica","www.revista-sda.cl","0719-1146;2735-7317",9,10,0,0,51,TRUE
"Boletín Científico Tecnológico","boletincientifico.cl","0718-1191;2452-607X",9,7,5,7,44,TRUE
"Grecorromana. Revista Chilena de Estudios Clásicos","grecorromana.unab.cl","0719-9902",9,10,10,4,44,TRUE
"Revista Relatos","relatos.unab.cl","2810-6253;2810-6369",9,10,0,0,20,TRUE
"STEINIANA: Revista de Estudios Interdisciplinarios","revistasteiniana.uc.cl","0719-8728",9,14,1,8,74,TRUE
"Base Diseño e Innovación","revistas.udd.cl","0719-515X;2452-5928",8,20,9,0,232,TRUE
"Revista Chilena de Educación Matemática","www.sochiem.cl","2452-5448",8,9,20,10,51,TRUE
"Neuma (Talca)","neuma.utalca.cl","0718-7017;0719-5389",8,12,27,1,239,TRUE
"Mirador Mundial","www.politicayestrategia.cl","2452-4247;2452-4255",8,16,23,0,48,TRUE
"Vincularte","revistavincularte.cl","2810-6636",8,6,7,10,77,TRUE
"Revista de Educación Estadística","revistaucmaule.ucm.cl","2810-6164",8,9,0,0,27,TRUE
"EMERGENCIAS: Cuaderno del Magíster en Comunicación Política","revistasdex.uchile.cl","Sin ISSN",8,0,0,0,8,TRUE
"Scientia","revistas.usm.cl","0716-8446",8,6,0,0,45,TRUE
"Revista Akadèmeia","revistas.ugm.cl","0717-9936;0718-9397",7,17,28,7,102,TRUE
"Polyphōnía. Revista de Educación Inclusiva / Polyphōnía. Journal of Inclusive Education","revista.celei.cl","0719-7438",7,19,23,14,131,TRUE
"Contexto","www.revistacontextoucen.cl","0719-1707;2810-6660",7,11,8,7,53,TRUE
"REVISTA DE HUMANIDADES Y CIENCIAS SOCIALES Y MULTIDISCIPLINARIA","100cs.cl","0719-5737",7,6,29,0,157,TRUE
"Revista Observatorio del Deporte","revistaobservatoriodeldeporte.cl","0719-5729",7,20,11,26,254,TRUE
"Estudios de Administración","estudiosdeadministracion.uchile.cl","0717-0653;0719-0816",7,15,15,12,205,TRUE
"Journal of Management & Business Studies","revistas.uautonoma.cl","2452-5340",7,12,19,4,66,TRUE
"Revista de Estudiantes de Medicina del Sur","rems.ufro.cl","0718-1906;0718-9958",7,9,11,6,121,TRUE
"Cuadernos de Enfermería","revistaucmaule.ucm.cl","2735-7325",7,0,8,0,21,TRUE
"Panambí. Revista de Investigaciones Artísticas","revistas.uv.cl","0719-630X",7,14,29,8,165,TRUE
"Revista Odontológica Científica Chilena","rocc.uchile.cl","2735-7600",7,15,0,0,29,TRUE
"Pragmatika review","pragmatikasolutions.com","2452-5006",7,32,28,24,134,TRUE
"Revista Latinoamericana de Educación Inclusiva","revistainclusiva.ucentral.cl","0718-5480;0718-7378",7,18,26,13,181,TRUE
"Remetallica","www.revistas.usach.cl","0716-291X",7,7,8,0,234,TRUE
"Pro Jure Revista de Derecho - Pontificia Universidad Católica de Valparaíso","www.projurepucv.cl","2810-7659",7,10,22,16,1043,TRUE
"Boletín de Anestesia","boletinanestesia.uchile.cl","2735-6310",6,5,5,4,20,TRUE
"Revista Geográfica del Sur","revistas.udec.cl","0718-7653;0718-9249",6,0,12,6,24,TRUE
"Pensamiento y Acción Interdisciplinaria","revistapai.ucm.cl","0719-8078",6,30,19,8,133,TRUE
"Revista Infancia, Educación y Aprendizaje","revistas.uv.cl","0719-6202",6,15,6,27,381,TRUE
"Cuaderno de trabajo","www.politicayestrategia.cl","0719-4110",6,6,59,0,75,TRUE
"Revista Nodos","revistas.ugm.cl","2810-6008",6,0,0,0,6,TRUE
"Mirada Hemisférica","ojs.uc.cl","Sin ISSN",6,0,0,0,6,TRUE
"AISTHESIS: Revista Chilena de Investigaciones Estéticas","revistaaisthesis.uc.cl","0568-3939;0718-7181",6,47,53,35,1191,TRUE
"Publicitas","www.revistas.usach.cl","0719-4005",6,13,13,15,136,TRUE
